Sample_ID,year,Month,Area,date,Latitude,Longitude
FDIR001,2019,April,Nordland,23/04/2019,68N 14.144,14E 34.482
FDIR002,2019,April,Nordland,24/04/2019,68N 16.386,13E 32.059
FDIR003,2019,April,Ishav,25/04/2019,69N 34.563,17E 57.232
FDIR004,2019,April,Ishav,25/04/2019,69N 22.972,16E 11.456
FDIR005,2019,April,Ishav,25/04/2019,69N 0.93,14E 58.851
FDIR007,2019,April,Ishav,26/04/2019,70N 0.4,30E 0.07
FDIR008,2019,April,Ishav,28/04/2019,70N 8.559,24E 35.42
FDIR024,2019,May,Nordland,28/05/2019,68N 23.8,16E 14.9
FDIR025,2019,May,Nordland,28/05/2019,68N 14.1,15E 39.2
FDIR026,2019,May,Nordland,30/05/2019,67N 54,15E 11.43
FDIR027,2019,May,Vest,30/05/2019,60N 5.27,5E 17.3
FDIR028,2019,May,Vest,31/05/2019,60N 5.982,5E 34.2
FDIR029,2019,June,Vest,01/06/2019,60N 28.302,6E 47.307
FDIR030,2019,June,Nordland,02/06/2019,68N 25.8,16E 0.8
FDIR031,2019,June,Vest,02/06/2019,60N 10.357,6E 34.111
FDIR033,2019,June,Sør,05/06/2019,59N 32.859,6E 25.65
FDIR034,2019,June,Sør,06/06/2019,59N 7.042,5E 27.46
FDIR035,2019,June,Sør,07/06/2019,58N 47.9,5E 28
FDIR036,2019,June,Sør,07/06/2019,58N 15.514,6E 13.925
FDIR037,2019,June,Ishav,08/06/2019,69N 0.6,17E 16.45
FDIR038,2019,June,Nordland,08/06/2019,67N 52.73,14E 34.71
FDIR039,2019,June,Nordland,08/06/2019,67N 27.71,14E 24.11
FDIR040,2019,June,Nordland,09/06/2019,67N 1.7,13E 47.9
FDIR041,2019,June,Nordland,09/06/2019,66N 40.5,13E 8.3
FDIR044,2019,June,Midt,09/06/2019,64N 58.1,11E 33.3
FDIR045,2019,June,Sør,09/06/2019,58N 6.1999,8E 8.6
FDIR046,2019,June,Midt,10/06/2019,64N 15.3,10E 20.1
FDIR047,2019,June,Midt,10/06/2019,63N 42.11,9E 30.58
FDIR048,2019,June,Midt,10/06/2019,63N 29.6,9E 50
FDIR049,2019,June,Midt,10/06/2019,63N 16.6,8E 8.5
FDIR050,2019,June,Midt,10/06/2019,62N 48.4,6E 37.35
FDIR051,2019,June,Midt,10/06/2019,62N 28.37,6E 9.28
FDIR052,2019,June,Sør,10/06/2019,58N 55.793,10E 3.33
FDIR053,2019,June,Sør,10/06/2019,58N 38.88,9E 10.411
FDIR054,2019,June,Sør,10/06/2019,58N 29.51,10E 35.527
FDIR055,2019,June,Sør,10/06/2019,58N 16.624,8E 39.158
FDIR056,2019,June,Sør,13/06/2019,59N 51.3,10E 46.34
FDIR057,2019,June,Sør,14/06/2019,59N 12.82,10E 55.37
FDIR058,2019,June,Sør,23/06/2019,58N 7.968,7E 59.698
FDIR059,2019,August,Sør,16/08/2019,58N 30.636,8E 56.5
FDIR060,2019,August,Sør,18/08/2019,58N 40.234,9E 13.656
FDIR062,2019,August,Sør,19/08/2019,58N 43.302,9E 14.739
FDIR063,2019,August,Sør,25/08/2019,58N 0.34,7E 21.97
FDIR070,2019,May,Vest,18/05/2019,61N 29.51,4E 58.9
FDIR071,2019,May,Vest,19/05/2019,60N 48.97,5E 03 98
FDIR072,2019,May,Vest,20/05/2019,60N 23.05,5E 18. 4
FDIR073,2019,May,Vest,18/05/2019,62N 0.36,5E 13
FDIR074,2019,May,Midt,15/05/2019,63N 13.22,7E 56.57
FDIR075,2019,May,Midt,15/05/2019,62N 45.29,6E 32.18
FDIR076,2019,May,Midt,16/05/2019,62N 19.35,5E 32.14
FDIR077,2019,May,Vest,17/05/2019,62N 2.75,5E 20.62
FDIR080,2019,June,Vest,04/06/2019,59N 41.19,5E 24.601
FDIR088,2019,August,Sør,19/08/2019,58N 51.759,9E 26.807
FDIR092,2019,May,Midt,15/05/2019,63N 55.28,9E 3.73
FDIR093,2019,May,Midt,12/05/2019,63N 26.29,10E 24.52
FDIR094,2019,May,Midt,15/05/2019,63N 51.36,8E 40.69
FDIR095,2019,April,Midt,30/04/2019,64N 37.98,11E 0.29
FDIR096,2019,May,Midt,01/05/2019,63N 43.85,8E 50.07
FDIR097,2019,June,Nordland,09/06/2019,65N 23.7,12E 7.1
FDIR099,2019,June,Nordland,09/06/2019,66N 1.47,12E 33.5
FDIR100,2019,April,Nordland,25/04/2019,67N 28.61,12E 1.53
FDIR101,2019,April,Nordland,28/04/2019,67N 13.1,14E 7.3
FDIR102,2019,April,Nordland,29/04/2019,66N 48.46,13E 27.1
FDIR103,2019,April,Nordland,29/04/2019,65N 59.35,12E 22.47
FDIR104,2019,May,Ishav,04/05/2019,70N 55.7,27E 3.0
